id,sms_text,transaction_type,amount,reference,date,balance,sender_recipient,phone
6,"KL51RHT Confirmed. You bought Ksh1,000.00 airtime for 254712600069 on 16/09/2025 at 01:09 PM. New balance is Ksh-30,224.85. Transaction cost, Ksh0.00.",airtime,1000,KL51RHT,2025-09-16T13:09:58.360883,-30224.84953253773,,254712600069
17,"RF45HSO Confirmed. You have paid Ksh3,861.86 to GOODLIFE PHARMACY for account 696296 on 17/09/2025 at 10:25 PM. New balance is Ksh-29,249.34. Transaction cost, Ksh0.00.",paybill,3861.86,RF45HSO,2025-09-17T22:25:09.361629,-29249.33953253773,GOODLIFE PHARMACY,
15,"RB05DYG Confirmed. You have received Ksh3,693.82 from JOYCE WAMBUI 254734364062 on 23/09/2025 at 02:52 AM. New M-PESA balance is Ksh-25,948.63. Transaction cost, Ksh0.00.",received,3693.82,RB05DYG,2025-09-23T02:52:17.361516,-25948.629532537732,JOYCE WAMBUI,254734364062
40,"RB15SOS Confirmed. You have received Ksh2,677.72 from LUCY MUGO 254756306982 on 24/09/2025 at 08:03 AM. New M-PESA balance is Ksh-10,595.17. Transaction cost, Ksh0.00.",received,2677.72,RB15SOS,2025-09-24T08:03:53.363195,-10595.169532537739,LUCY MUGO,254756306982
7,"RB47NHM Confirmed. You have received Ksh499.33 from LUCY OTIENO 254712712933 on 01/10/2025 at 03:39 AM. New M-PESA balance is Ksh-29,725.52. Transaction cost, Ksh0.00.",received,499.33,RB47NHM,2025-10-01T03:39:45.360945,-29725.519532537728,LUCY OTIENO,254712712933
20,"HJ57RUM Confirmed. You have withdrawn Ksh4,251.67 from M-PESA Agent PETER MUTHONI 254745201337 on 03/10/2025 at 03:31 PM. New balance is Ksh-33,643.23. Transaction cost, Ksh51.02.",withdrawal,4251.67,HJ57RUM,2025-10-03T15:31:11.361814,-33643.22953253773,PETER MUTHONI,254745201337
18,"QC27GHA Confirmed. Ksh4,085.55 sent to MARGARET KIBET 254745354149 on 05/10/2025 at 09:57 AM. New M-PESA balance is Ksh-33,375.75. Transaction cost, Ksh40.86.",sent,4085.55,QC27GHA,2025-10-05T09:57:57.361686,-33375.74953253773,MARGARET KIBET,254745354149
50,"RF77GPO Confirmed. You have paid Ksh259.43 to CLEANSHELF SUPERMARKET for account 786027 on 09/10/2025 at 05:10 PM. New balance is Ksh-79,737.66. Transaction cost, Ksh0.00.",paybill,259.43,RF77GPO,2025-10-09T17:10:19.363782,-79737.65953253774,CLEANSHELF SUPERMARKET,
46,"RB87INS Confirmed. You have received Ksh325.62 from MARGARET AKOTH 254745541669 on 11/10/2025 at 07:21 PM. New M-PESA balance is Ksh-12,107.07. Transaction cost, Ksh0.00.",received,325.62,RB87INS,2025-10-11T19:21:36.363570,-12107.069532537738,MARGARET AKOTH,254745541669
37,"RB70DIG Confirmed. You have received Ksh4,508.11 from JOHN MUTUA 254756693633 on 12/10/2025 at 05:13 AM. New M-PESA balance is Ksh-2,241.27. Transaction cost, Ksh0.00.",received,4508.11,RB70DIG,2025-10-12T05:13:23.363022,-2241.269532537737,JOHN MUTUA,254756693633
43,"KL64APH Confirmed. You bought Ksh50.00 airtime for 254723418388 on 12/10/2025 at 06:41 PM. New balance is Ksh-9,515.16. Transaction cost, Ksh0.00.",airtime,50,KL64APH,2025-10-12T18:41:05.363394,-9515.15953253774,,254723418388
34,"RB36KXL Confirmed. You have received Ksh3,446.58 from MARGARET JEMUTAI 254712302365 on 14/10/2025 at 04:20 PM. New M-PESA balance is Ksh1,574.66. Transaction cost, Ksh0.00.",received,3446.58,RB36KXL,2025-10-14T16:20:21.362841,1574.6604674622631,MARGARET JEMUTAI,254712302365
39,"RF71GDQ Confirmed. You have paid Ksh9,584.25 to TUSKYS for account 696373 on 21/10/2025 at 11:47 AM. New balance is Ksh-13,272.89. Transaction cost, Ksh0.00.",paybill,9584.25,RF71GDQ,2025-10-21T11:47:28.363137,-13272.889532537738,TUSKYS,
14,"HJ69KZN Confirmed. You have withdrawn Ksh11,875.58 from M-PESA Agent FAITH KORIR 254756632575 on 21/10/2025 at 07:41 PM. New balance is Ksh-29,642.45. Transaction cost, Ksh142.51.",withdrawal,11875.58,HJ69KZN,2025-10-21T19:41:48.361421,-29642.449532537732,FAITH KORIR,254756632575
31,"RF77LDG Confirmed. You have paid Ksh1,775.48 to KFC KENYA for account 313389 on 22/10/2025 at 10:40 PM. New balance is Ksh-37,933.66. Transaction cost, Ksh0.00.",paybill,1775.48,RF77LDG,2025-10-22T22:40:53.362678,-37933.659532537735,KFC KENYA,
48,"RF33DRA Confirmed. You have paid Ksh4,552.56 to NAIROBI WATER for account 920487 on 23/10/2025 at 12:50 PM. New balance is Ksh-35,796.75. Transaction cost, Ksh0.00.",paybill,4552.56,RF33DRA,2025-10-23T12:50:12.363672,-35796.74953253774,NAIROBI WATER,
2,"RF65RFE Confirmed. You have paid Ksh3,230.66 to UCHUMI SUPERMARKET for account 368128 on 23/10/2025 at 07:14 PM. New balance is Ksh-10,662.38. Transaction cost, Ksh0.00.",paybill,3230.66,RF65RFE,2025-10-23T19:14:17.360612,-10662.379532537729,UCHUMI SUPERMARKET,
36,"QC06AXW Confirmed. Ksh8,043.60 sent to REBECCA AKINYI 254723073134 on 24/10/2025 at 09:05 AM. New M-PESA balance is Ksh-6,749.38. Transaction cost, Ksh80.44.",sent,8043.6,QC06AXW,2025-10-24T09:05:24.362962,-6749.379532537737,REBECCA AKINYI,254723073134
29,"RB88PWI Confirmed. You have received Ksh1,778.59 from JOYCE AWUOR 254756820048 on 28/10/2025 at 12:36 AM. New M-PESA balance is Ksh-28,668.95. Transaction cost, Ksh0.00.",received,1778.59,RB88PWI,2025-10-28T00:36:36.362386,-28668.949532537732,JOYCE AWUOR,254756820048
12,"RF23RLH Confirmed. You have paid Ksh2,011.56 to NAKUMATT PHARMACY for account 027973 on 28/10/2025 at 07:51 AM. New balance is Ksh-18,633.68. Transaction cost, Ksh0.00.",paybill,2011.56,RF23RLH,2025-10-28T07:51:13.361240,-18633.67953253773,NAKUMATT PHARMACY,
21,"HJ24PXK Confirmed. You have withdrawn Ksh936.84 from M-PESA Agent JAMES OMONDI 254756164554 on 28/10/2025 at 12:00 PM. New balance is Ksh-34,591.31. Transaction cost, Ksh11.24.",withdrawal,936.84,HJ24PXK,2025-10-28T12:00:58.361873,-34591.30953253772,JAMES OMONDI,254756164554
23,"RB19GFR Confirmed. You have received Ksh2,618.17 from JOSEPH WAMBUI 254745407419 on 29/10/2025 at 11:53 AM. New M-PESA balance is Ksh-34,708.68. Transaction cost, Ksh0.00.",received,2618.17,RB19GFR,2025-10-29T11:53:13.361999,-34708.679532537724,JOSEPH WAMBUI,254745407419
24,"QC62NQJ Confirmed. Ksh476.41 sent to SARAH KIMANI 254712114623 on 02/11/2025 at 10:35 PM. New M-PESA balance is Ksh-35,189.85. Transaction cost, Ksh4.76.",sent,476.41,QC62NQJ,2025-11-02T22:35:15.362053,-35189.84953253773,SARAH KIMANI,254712114623
1,"QC33KRS Confirmed. Ksh36,102.81 sent to GRACE OMONDI 254734739872 on 03/11/2025 at 06:40 PM. New M-PESA balance is Ksh-7,431.72. Transaction cost, Ksh361.03.",sent,36102.81,QC33KRS,2025-11-03T18:40:56.360448,-7431.71953253773,GRACE OMONDI,254734739872
19,"RB91UAH Confirmed. You have received Ksh4,035.21 from PATRICK ONYANGO 254745647304 on 08/11/2025 at 08:45 AM. New M-PESA balance is Ksh-29,340.54. Transaction cost, Ksh0.00.",received,4035.21,RB91UAH,2025-11-08T08:45:19.361755,-29340.539532537732,PATRICK ONYANGO,254745647304
26,"QC44NIQ Confirmed. Ksh426.73 sent to JANE OTIENO 254723380021 on 10/11/2025 at 10:51 PM. New M-PESA balance is Ksh-35,992.57. Transaction cost, Ksh4.27.",sent,426.73,QC44NIQ,2025-11-10T22:51:45.362166,-35992.56953253773,JANE OTIENO,254723380021
3,"Co-operative Bank: Acc XXXX5678 debited KES 14,068.71 on 11-Nov-2025. Balance: KES -24,731.09. Ref: 1279214274",bank_withdrawal,14068.71,1279214274,2025-11-11T03:52:34.360678,-24731.089532537728,Co-operative Bank,
9,"RF24IBI Confirmed. You have paid Ksh320.74 to NAIROBI WATER for account 878133 on 13/11/2025 at 11:23 PM. New balance is Ksh-16,271.04. Transaction cost, Ksh0.00.",paybill,320.74,RF24IBI,2025-11-13T23:23:07.361069,-16271.039532537729,NAIROBI WATER,
5,"KL29QDD Confirmed. You bought Ksh100.00 airtime for 254745852306 on 14/11/2025 at 05:01 PM. New balance is Ksh-29,224.85. Transaction cost, Ksh0.00.",airtime,100,KL29QDD,2025-11-14T17:01:37.360823,-29224.84953253773,,254745852306
49,"TG01JTR Confirmed. Ksh43,681.48 paid to KENYA POWER Till Number 478808 on 15/11/2025 at 12:26 AM. New balance is Ksh-79,478.23. Transaction cost, Ksh0.00.",till,43681.48,TG01JTR,2025-11-15T00:26:02.363729,-79478.22953253775,KENYA POWER,
32,"KL86MJE Confirmed. You bought Ksh1,000.00 airtime for 254712097321 on 16/11/2025 at 06:49 AM. New balance is Ksh-38,933.66. Transaction cost, Ksh0.00.",airtime,1000,KL86MJE,2025-11-16T06:49:53.362729,-38933.659532537735,,254712097321
45,"RB76ABQ Confirmed. You have received Ksh90.70 from MICHAEL KIPCHOGE 254712465236 on 16/11/2025 at 07:32 AM. New M-PESA balance is Ksh-12,432.69. Transaction cost, Ksh0.00.",received,90.7,RB76ABQ,2025-11-16T07:32:57.363516,-12432.689532537739,MICHAEL KIPCHOGE,254712465236
33,"RB65DWO Confirmed. You have received Ksh37,061.74 from REBECCA JEMUTAI 254712538477 on 17/11/2025 at 12:05 AM. New M-PESA balance is Ksh-1,871.92. Transaction cost, Ksh0.00.",received,37061.74,RB65DWO,2025-11-17T00:05:14.362786,-1871.9195325377368,REBECCA JEMUTAI,254712538477
4,"TG21ZSB Confirmed. Ksh4,393.76 paid to QUICKMART Till Number 093176 on 17/11/2025 at 05:30 AM. New balance is Ksh-29,124.85. Transaction cost, Ksh0.00.",till,4393.76,TG21ZSB,2025-11-17T05:30:48.360754,-29124.84953253773,QUICKMART,
13,"RB35LWB Confirmed. You have received Ksh1,009.32 from CATHERINE NDUNG'U 254712923519 on 18/11/2025 at 01:08 AM. New M-PESA balance is Ksh-17,624.36. Transaction cost, Ksh0.00.",received,1009.32,RB35LWB,2025-11-18T01:08:26.361321,-17624.359532537732,CATHERINE NDUNG'U,254712923519
30,"TG50YSU Confirmed. Ksh7,489.23 paid to SAFARICOM LTD Till Number 764540 on 18/11/2025 at 04:11 AM. New balance is Ksh-36,158.18. Transaction cost, Ksh0.00.",till,7489.23,TG50YSU,2025-11-18T04:11:42.362615,-36158.17953253773,SAFARICOM LTD,
